ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
177633833,2021-05-19T03:11:32,2021-05-19T03:15:27,buy,0.01,XAUUSDm,1868.107,1867.093,1867.093,1868.772,0,0,-1.02
177632965,2021-05-19T03:08:07,2021-05-19T03:15:26,buy,0.01,XAUUSDm,1867.46,1867.076,1867.076,1868.772,0,0,-0.38
177628518,2021-05-19T02:59:48,2021-05-19T03:07:03,sell,0.01,BTCUSDm,40261.58,40686.75,40686.75,39841.19,0,0,-4.25
177631975,2021-05-19T03:06:06,2021-05-19T03:07:03,sell,0.01,BTCUSDm,40384.83,40687.06,40679.67,40106,0,0,-3.02
177625677,2021-05-19T02:38:16,2021-05-19T03:01:53,buy,0.02,XAUUSDm,1867.517,1866.689,1866.689,1868.692,0,0,-1.65
177623660,2021-05-19T02:19:08,2021-05-19T02:38:10,sell,0.02,XAUUSDm,1866.585,1867.482,1867.706,1865.596,0,0,-1.79
177617019,2021-05-19T02:01:38,2021-05-19T02:03:47,sell,0.02,XAUUSDm,1866.752,1865.8500000000001,1866.299,1865.28,0,0,1.8
177617230,2021-05-19T02:02:42,2021-05-19T02:03:43,sell,0.01,XAUUSDm,1866.125,1865.814,1866.537,1865.022,0,0,0.32
177616130,2021-05-19T01:52:43,2021-05-19T02:00:33,buy,0.01,XAUUSDm,1868.614,1866.862,1867.168,1870.63,0,0,-1.75
177614006,2021-05-19T01:33:11,2021-05-19T01:39:18,buy,0.01,XAUUSDm,1867.469,1866.8600000000001,1866.181,1867.922,0,0,-0.61
177572125,2021-05-18T14:35:48,2021-05-18T14:47:19,buy,0.02,XAUUSDm,1867.0230000000001,1866.566,1865.686,1868.122,0,0,-0.92
177566139,2021-05-18T14:04:33,2021-05-18T14:10:37,sell,0.02,XAUUSDm,1863.26,1865.26,1865.985,1860.845,0,0,-4
177560716,2021-05-18T13:44:55,2021-05-18T13:46:57,sell,0.02,XAUUSDm,1866.991,1866.932,1866.932,1865.526,0,0,0.12
177560345,2021-05-18T13:43:40,2021-05-18T13:44:31,sell,0.02,XAUUSDm,1868.011,1867.671,1869.008,1865.733,0,0,0.68
177559474,2021-05-18T13:39:19,2021-05-18T13:41:24,sell,0.02,XAUUSDm,1870.223,1868.8600000000001,1869.221,1867.119,0,0,2.73
177558241,2021-05-18T13:34:24,2021-05-18T13:34:57,sell,0.02,XAUUSDm,1867.594,1868.676,1869.429,1865.701,0,0,-2.16
177557495,2021-05-18T13:32:04,2021-05-18T13:33:02,sell,0.02,XAUUSDm,1868.307,1868.243,1868.243,1866.04,0,0,0.12
177549202,2021-05-18T12:58:20,2021-05-18T13:17:23,sell,0.02,BTCUSDm,43906.89,43670.92,43858.94,43307.87,0,0,4.72
177548262,2021-05-18T12:53:35,2021-05-18T12:57:02,sell,0.02,BTCUSDm,43851.43,44044.68,44037.09,42916.71,0,0,-3.86
177547484,2021-05-18T12:50:24,2021-05-18T12:51:50,sell,0.02,XAUUSDm,1868.977,1869.746,1869.746,1867.541,0,0,-1.54
177545958,2021-05-18T12:45:31,2021-05-18T12:49:27,sell,0.02,XAUUSDm,1871.671,1870.031,1870.031,1865.715,0,0,3.28
177543573,2021-05-18T12:38:03,2021-05-18T12:40:21,sell,0.02,BTCUSDm,44501.01,44401.32,44589,43259.87,0,0,1.99
177533678,2021-05-18T11:38:30,2021-05-18T11:42:47,buy,0.02,XAUUSDm,1868.306,1868.733,1868.334,1869.779,0,0,0.86
177532932,2021-05-18T11:32:48,2021-05-18T11:34:42,buy,0.02,XAUUSDm,1867.313,1867.526,1866.891,1868.01,0,0,0.42
177531110,2021-05-18T11:17:24,2021-05-18T11:31:32,sell,0.01,GBPUSDm,1.4191300000000002,1.41958,1.41958,1.41761,0,0,-0.45
177531803,2021-05-18T11:25:09,2021-05-18T11:30:40,sell,0.01,GBPJPYm,154.679,154.734,154.734,154.588,0,0,-0.5
177529925,2021-05-18T11:07:50,2021-05-18T11:14:45,sell,0.02,XAUUSDm,1867.073,1867.06,1867.407,1865.932,0,0,0.03
177528229,2021-05-18T10:52:48,2021-05-18T10:59:12,sell,0.02,AUDUSDm,0.77993,0.7795900000000001,0.77987,0.77851,0,0,0.68
177528393,2021-05-18T10:55:07,2021-05-18T10:57:31,sell,0.02,XAUUSDm,1868.421,1868.152,1869.046,1867.812,0,0,0.54
177517476,2021-05-18T09:09:31,2021-05-18T09:57:04,sell,0.02,AUDUSDm,0.7799200000000001,0.7799,0.78016,0.77892,0,0,0.04
172102558,2021-04-17T09:27:26,2021-04-17T09:40:14,sell,0.1,BTCUSDm,61695.39,61834.97,0,61400,0,0,-13.96
172101237,2021-04-17T09:09:09,2021-04-17T09:23:48,buy,0.11,BTCUSDm,62210.25,61777,61777,62362,0,0,-47.66
172101631,2021-04-17T09:14:53,2021-04-17T09:23:48,buy,0.03,BTCUSDm,62205.55,61777,61777,62300,0,0,-12.86
172017272,2021-04-16T13:46:02,2021-04-16T13:56:13,sell,0.11,XAUUSDm,1774.675,1774.694,0,0,0,0,-0.2
172003421,2021-04-16T12:40:35,2021-04-16T12:41:58,buy,0.11,XAUUSDm,1783.527,1783.338,0,1784,0,0,-2.08
171915387,2021-04-16T03:38:08,2021-04-16T06:20:44,sell,0.11,GBPCADm,1.7255300000000002,1.72096,1.72765,1.7205,0,0,40.13
171929880,2021-04-16T06:00:51,2021-04-16T06:13:35,buy,0.11,XAUUSDm,1765.367,1763.953,0,0,0,0,-15.56
171915417,2021-04-16T03:38:29,2021-04-16T06:10:42,sell,0.01,GBPCADm,1.7254900000000002,1.7231,1.72765,1.7231,0,0,1.9
171906111,2021-04-16T03:07:05,2021-04-16T06:10:27,sell,0.01,GBPCADm,1.7263000000000002,1.72313,1.72765,1.72313,0,0,2.53
171931073,2021-04-16T06:09:13,2021-04-16T06:09:26,buy,0.11,GBPCADm,1.7233900000000002,1.7231200000000002,0,0,0,0,-2.38
171741007,2021-04-15T08:13:06,2021-04-15T12:08:09,sell,0.01,XAUUSDm,1744.807,1749,1749,174,0,0,-4.19
171775903,2021-04-15T11:01:19,2021-04-15T11:04:26,sell,0.11,XAUUSDm,1746.874,1746.75,0,0,0,0,1.36
171776145,2021-04-15T11:02:31,2021-04-15T11:04:21,sell,0.11,XAUUSDm,1747.1380000000001,1746.953,0,0,0,0,2.04
171745972,2021-04-15T08:44:03,2021-04-15T10:40:00,sell,0.11,XAUUSDm,1747.2450000000001,1745.894,1751,1745,0,0,14.87
171738425,2021-04-15T07:57:15,2021-04-15T08:04:16,sell,0.11,XAUUSDm,1745.625,1745.3020000000001,1748,1744,0,0,3.56
171738081,2021-04-15T07:55:11,2021-04-15T07:55:27,sell,0.11,XAUUSDm,1745.837,1745.637,0,0,0,0,2.2
171706796,2021-04-15T04:19:00,2021-04-15T07:09:02,buy,0.01,GBPNZDm,1.9286800000000002,1.924,1.924,0,0,0,-3.35
171713941,2021-04-15T05:25:51,2021-04-15T06:26:02,sell,0.11,XAUUSDm,1741.054,1744,1744,1741,0,0,-32.41
171715420,2021-04-15T05:41:34,2021-04-15T06:26:02,sell,0.11,XAUUSDm,1741.613,1744,1744,1741.005,0,0,-26.26
